SEÐLABANKI ÍSLANDS,,,,,,,,,,,,,,
Upplýsingatækni og gagnasöfnun,,,,,HAGTÖLUR SEÐLABANKANS,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,Bankavextir og dráttarvextir (%),,,,,,,,,
,,,,,, í lok hvers mánaðar,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Innláns-vextir 1,,Óverðtryggð skuldabréfalán 1,,,Verðtryggð skuldabréfalán 1,,,Vextir birtir af SÍ skv. lögum nr. 38/2001,,,,
,,Almennir spari- reikningar 2,,Lægstu vextir,Hæstu vextir,,Lægstu vextir,Hæstu vextir,,Dráttarvextir pen.krafna í krónum 3,Almennir vextir óverðtryggðra lána 4,Almennir vextir verð-tryggðra lána 4,Vextir af skaðabóta-kröfum 5,
,,,,,,,,,,,,,,
,Febrúar,1.69,,7.05,13.45,,3.65,10.70,,13.50,7.05,3.65,4.70,
,Mars,1.69,,7.05,13.45,,3.65,10.70,,13.50,7.05,3.65,4.70,
,Apríl,1.69,,7.05,13.45,,3.65,10.70,,13.50,7.05,3.65,4.70,
,Maí,1.69,,7.05,13.45,,3.65,10.70,,13.50,7.05,3.65,4.70,
,Júní,1.69,,7.05,13.45,,3.65,10.70,,13.50,7.05,3.65,4.70,
,Júlí,1.69,,7.05,13.45,,3.65,10.70,,13.50,7.05,3.65,4.70,
,Ágúst,1.69,,7.05,13.45,,3.65,10.70,,13.50,7.05,3.65,4.70,
,September,1.19,,6.55,13.45,,3.65,10.70,,13.50,7.05,3.65,4.70,
,Október,1.19,,6.55,13.45,,3.65,10.70,,13.00,6.55,3.65,4.37,
,Nóvember,1.19,,6.55,13.45,,3.65,10.70,,13.00,6.55,3.65,4.37,
,Desember,0.98,,6.50,13.35,,3.65,10.70,,13.00,6.55,3.65,4.37,
,,,,,,,,,,,,,,
2017,Janúar,0.94,,6.35,12.75,,3.65,10.70,,12.75,6.55,3.65,4.37,
,Febrúar,0.94,,6.35,12.75,,3.65,10.70,,12.75,6.50,3.65,4.33,
,Mars,0.94,,6.35,12.75,,3.65,10.70,,12.75,6.35,3.65,4.23,
