,date,fjöldi_kaupsamninga,auglyst_serbyli,auglyst_fjolbyli,solutimi,Verðtryggð lán,erlend_lan,Óverðtryggð lán,overdtryggt,verdtryggt,visitala_rvk_%,verdbolga_%,Reykjavík,Kópavogur,Garðabær,Hafnarfjörður,Mosfellsbær,"Eigendur, skuldlaust",Eigendur m. lán,"Leigjendur, alls"
106,2015-02-01,517.35,0.69,1.43,4.09,65.85,0.6,12.43,6.0,3.65,1.8,0.5652620760534299,0.4279375529844549,0.3904448783498955,0.3759101716279549,0.3628505343575325,0.3434683231771976,16.125,56.708333333333336,27.175
107,2015-03-01,670.73,0.67,1.34,2.99,64.25,0.52,13.03,6.0,3.65,0.3,1.0219724067450198,0.428004934735471,0.3899847725106629,0.3757046579310638,0.3627234902397287,0.3443560011931049,16.150000000000002,56.71666666666667,27.15
108,2015-04-01,550.77,0.63,1.27,3.45,62.35,0.18,13.09,6.0,3.65,-0.2,0.0505816894284416,0.428072316486487,0.3895246666714302,0.3754991442341727,0.3625964461219249,0.3452436792090123,16.175,56.725,27.125
109,2015-05-01,554.65,0.6,1.25,3.33,62.22888888888889,0.17888888888888888,13.07,6.0,3.65,1.1,0.3033367037411416,0.428139698237503,0.3890645608321975,0.3752936305372816,0.3624694020041211,0.3461313572249195,16.2,56.73333333333333,27.1
110,2015-06-01,618.03,0.58,1.21,2.9,62.10777777777778,0.17777777777777778,13.05,6.0,3.65,0.0,0.3528225806451512,0.4282070799885191,0.3886044549929648,0.3750881168403904,0.3623423578863173,0.3470190352408269,16.225,56.74166666666667,27.075
111,2015-07-01,585.8,0.56,1.22,3.04,61.986666666666665,0.17666666666666667,13.03,6.0,3.65,0.9,0.0251130085384243,0.4282744617395351,0.3881443491537322,0.3748826031434993,0.3622153137685135,0.3479067132567341,16.25,56.75,27.05
112,2015-08-01,511.86,0.54,1.16,3.34,61.86555555555555,0.17555555555555555,13.01,6.1,3.65,0.2,0.5021340697966448,0.4283418434905511,0.3876842433144996,0.3746770894466082,0.3620882696507097,0.3487943912726415,16.275,56.75833333333333,27.025
113,2015-09-01,605.62,0.54,1.14,2.76,61.74444444444445,0.17444444444444446,12.99,6.1,3.65,1.2,-0.6245316012990276,0.4284092252415671,0.3872241374752669,0.374471575749717,0.3619612255329059,0.3496820692885488,16.3,56.766666666666666,27.0
114,2015-10-01,582.52,0.5,1.14,2.82,61.623333333333335,0.17333333333333334,12.97,6.6,3.65,0.6,-0.2011060834590239,0.4284766069925831,0.3867640316360342,0.374266062052826,0.3618341814151021,0.3505697473044561,16.325,56.775,26.975
115,2015-11-01,612.87,0.46,1.09,2.53,61.50222222222222,0.17222222222222222,12.95,7.0,3.65,0.3,-0.5793450881612094,0.4285439887435991,0.3863039257968016,0.3740605483559348,0.3617071372972983,0.3514574253203634,16.349999999999998,56.78333333333333,26.95
116,2015-12-01,628.82,0.42,0.99,2.24,61.38111111111111,0.17111111111111113,12.93,7.05,3.65,1.4,0.2786926779832832,0.4286113704946152,0.3858438199575689,0.3738550346590437,0.3615800931794945,0.3523451033362707,16.375,56.79166666666666,26.925
117,2016-01-01,577.98,0.38,0.94,2.28,61.26,0.17,12.91,7.05,3.65,0.6,-1.0611419909044906,0.4286787522456312,0.3853837141183363,0.3736495209621526,0.3614530490616907,0.353232781352178,16.4,56.8,26.9
118,2016-02-01,629.34,0.36,0.93,2.05,60.8,0.18,12.86,7.05,3.65,0.4,0.6894790602655743,0.4289039512383875,0.3860073442517441,0.3737606929677688,0.3611604348540652,0.356361709936045,16.383333333333333,56.50833333333333,27.191666666666663
119,2016-03-01,620.55,0.35,0.9,2.01,59.23,0.17,12.49,7.05,3.65,0.7,0.4565051990869984,0.4291291502311438,0.386630974385152,0.373871864973385,0.3608678206464396,0.3594906385199119,16.366666666666667,56.21666666666666,27.48333333333333
